"","Gene","log2FoldChange","pvalue"
"35","ENSDARG00000000542",-4.94800247780278,0.00401717138926847
"59","ENSDARG00000000906",-11.5029897694422,7.78063637259018e-09
"66","ENSDARG00000001057",-2.09334529622876,0.0454806126096787
"71","ENSDARG00000001169",-5.43067572142196,0.00979167826473481
"78","ENSDARG00000001259",-6.43452723557078,0.00535256058516062
"100","ENSDARG00000001686",-5.67551921332938,0.0033867832755254
"102","ENSDARG00000001712",-6.48955042357715,0.0392846280789527
"104","ENSDARG00000001733",-4.7979285382192,0.00951353184299827
"113","ENSDARG00000001782",-4.28270423248932,0.0241724076242657
"121","ENSDARG00000001818",-2.687452482362,0.0204581856409452
"152","ENSDARG00000001971",-3.67548334109031,0.0217303792365065
"155","ENSDARG00000001976",-5.9161188195682,0.00152126694957705
"204","ENSDARG00000002259",-7.17494940734489,0.00298033665785788
"252","ENSDARG00000002508",-4.80423502734619,0.00146791552458274
"306","ENSDARG00000002771",-3.47383881579162,0.00961053885130909
"317","ENSDARG00000002826",-3.94468610444122,0.0128576858867461
"331","ENSDARG00000002933",-4.14180154198013,0.00587717173038293
"367","ENSDARG00000003084",-3.10053444348267,0.00522258365940793
"382","ENSDARG00000003153",-2.27579239459207,0.0209319038684723
"402","ENSDARG00000003216",-5.09107041499918,0.000346868792658399
"429","ENSDARG00000003373",-2.20165278191822,0.038827856949509
"441","ENSDARG00000003411",-4.33432596694342,0.00142567278332824
"443","ENSDARG00000003420",-3.29999266615951,0.00646087882304336
"475","ENSDARG00000003599",-1.86365508431801,0.0299121554983523
"489","ENSDARG00000003693",-1.87167589415087,0.0485077074422284
"510","ENSDARG00000003811",-2.75881858453242,0.0188406153480538
"552","ENSDARG00000003974",-3.52477801477099,0.000693892622100519
"561","ENSDARG00000004018",-5.07157801643547,0.0126848995996398
"613","ENSDARG00000004260",-3.53695947808264,0.0233837878020364
"631","ENSDARG00000004312",-2.79583258642391,0.0145275005264496
"673","ENSDARG00000004539",-4.75782982856027,0.00911956340684369
"677","ENSDARG00000004577",-3.90413677396404,0.0344968319138108
"719","ENSDARG00000004736",-4.50434166964322,0.00553967134291029
"755","ENSDARG00000004906",-4.11105948137866,0.0147245620090321
"770","ENSDARG00000004975",-6.89864009454361,0.0024901638435461
"781","ENSDARG00000005034",-3.97877498364619,0.0434865178822783
"788","ENSDARG00000005085",-7.71144223066778,4.11471928794474e-05
"796","ENSDARG00000005121",-2.56681877341924,0.0434422966772986
"818","ENSDARG00000005218",-3.25391210748029,0.0165660541544873
"832","ENSDARG00000005314",-6.36988718745302,0.0307376820698275
"835","ENSDARG00000005332",-4.78516608272761,0.045673548921089
"837","ENSDARG00000005343",-2.2655628896482,0.0337281273388632
"854","ENSDARG00000005419",-3.2479198300207,0.0414505571663976
"855","ENSDARG00000005423",-1.73848312300319,0.0457000091877676
"907","ENSDARG00000005629",-3.08218271669021,0.0316154396971748
"910","ENSDARG00000005643",-4.59714341267402,0.000249111515506648
"967","ENSDARG00000005926",-3.33901189835596,0.000473705163530815
"1003","ENSDARG00000006092",-3.8555038079553,0.00906227485265678
"1007","ENSDARG00000006112",-4.79009162548916,0.00514497793931796
"1024","ENSDARG00000006215",-3.77742818152569,0.0109545581213987
